name,taste,flavor,popularity,category,brewery,place
来福,0.1030837,0.117540687,0.177570093,純米酒,来福酒造,筑西
結ゆい,0.17092511,0.142857143,0.158878505,純米酒,結城酒造,結城
月の井,0.015859031,0.068113321,0.08411215,純米酒,月の井酒造店,大洗
愛友,0.142731278,0.121157324,0.065420561,純米酒,愛友酒造,潮来
白菊,0.118942731,0.156118143,0.130841121,純米吟醸酒,廣瀬商店,石岡
松盛,0.107488987,0.027124774,0.056074766,純米吟醸酒,岡部合名,常陸太田
カミマル,0.059030837,0.097649186,0.074766355,純米吟醸酒,根本酒造,常陸大宮
真向勝負,0.135682819,0.159132007,0.102803738,純米吟醸酒,来福酒造,筑西
富久心,0.044933921,0.05244123,0.009345794,純米吟醸酒,椎名酒造,日立
副将軍,0.101321586,0.057866184,0.140186916,純米吟醸酒,明利酒類,水戸
男女川,0.326754386,0.105902778,0.342105263,純米酒,稲葉酒造,つくば
渡舟,0.192982456,0.480902778,0.526315789,純米吟醸酒,府中誉,石岡
御慶事,0.239035088,0.121527778,0.078947368,純米吟醸酒,青木酒造,古河
徳政宗,0.24122807,0.291666667,0.052631579,純米吟醸酒,萩原酒造,境町
霧筑波,0.202739726,0.103524229,0.306451613,純米酒,浦里酒造,つくば
筑波,0.182191781,0.019823789,0.080645161,純米酒,石岡酒造,石岡
一人娘,0.031506849,0.169603524,0.161290323,純米酒,山中酒造,常総
霊水八溝,0.37260274,0.614537445,0.193548387,純米酒,家久長本店,大子
男女川吟,0.210958904,0.092511013,0.258064516,純米吟醸酒,稲葉酒造,つくば
君萬代,,,,純米酒,愛友酒造,朝来
